gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS00005,3463,6279,2273,2981,2586,2226
HFX_RS00010,7092,9632,6554,7950,6547,6184
HFX_RS00015,3837,9681,3055,3702,3055,3023
HFX_RS00020,7249,3028,4612,5062,4517,4187
HFX_RS00025,15942,7689,15908,21290,18555,14104
HFX_RS00030,3865,926,1423,1930,1801,1730
HFX_RS00035,10619,5372,3411,3862,3843,3521
HFX_RS00040,8894,604,3459,3835,3922,3448
HFX_RS00045,793,212,429,559,527,493
HFX_RS00050,1599,3206,1943,2757,2487,2124
HFX_RS00055,1331,263,409,719,732,624
HFX_RS00060,1040,1300,877,1032,867,843
HFX_RS00065,6756,9096,6382,7257,6362,5632
HFX_RS00070,2810,1709,1326,1985,1634,1726
HFX_RS00075,10157,11439,7346,9493,8728,7972
HFX_RS00080,6873,3024,3288,4280,3721,3858
HFX_RS00085,1520,709,931,1050,919,962
HFX_RS00090,5093,5513,3347,4206,3821,3545
HFX_RS00095,4951,6729,3338,3775,3349,3058
HFX_RS00100,3447,5883,2273,2121,1898,1915
HFX_RS00105,3862,6457,1895,2278,2211,2006
HFX_RS00110,5351,3215,1658,2128,2094,1825
HFX_RS00115,198942,114648,137525,151490,125280,140872
HFX_RS00120,285,208,207,252,245,219
HFX_RS00125,9690,4256,4894,6097,5650,4615
HFX_RS00130,5719,1735,2750,4293,3901,3440
HFX_RS00135,6120,4283,4912,6033,5124,4809
HFX_RS19005,565,390,239,316,286,321
HFX_RS00140,448,642,233,275,229,237
HFX_RS00145,1539,1056,1405,1923,1953,1400
HFX_RS00150,378,201,210,285,232,254
HFX_RS00155,533,359,276,413,361,475
HFX_RS00160,2935,687,1931,1938,1716,1746
HFX_RS00165,27921,6406,19788,20538,18175,18070
HFX_RS00170,1260,348,403,627,479,427
HFX_RS00175,2850,1641,1265,1549,1309,1264
HFX_RS00180,519,166,313,334,227,272
HFX_RS00185,1630,331,882,905,910,846
HFX_RS00190,7698,8003,6652,8091,7004,6299
HFX_RS00195,207,41,61,86,84,85
HFX_RS00200,4253,1187,1034,875,991,945
HFX_RS00205,4980,1419,1284,1022,1295,1125
HFX_RS00210,6092,1610,1661,1441,1581,1611
HFX_RS00215,4015,1074,1062,789,877,991
HFX_RS00220,6154,2206,2050,1823,1864,1899
HFX_RS00225,5598,2042,1640,1580,1744,1674
HFX_RS00230,1398,284,443,453,399,424
HFX_RS00235,29913,10606,13453,11812,12762,12583
HFX_RS00240,28634,10943,13752,13566,13688,12460
HFX_RS00245,164,65,185,238,208,162
HFX_RS00250,363,218,253,241,190,184
HFX_RS00255,528,441,347,373,354,321
HFX_RS00260,4419,8478,4688,5441,4583,4154
HFX_RS00265,22504,31303,22263,24895,21816,19734
HFX_RS00270,9896,13526,9093,10201,8580,8173
HFX_RS00275,3033,4851,2408,3408,2675,2222
HFX_RS00280,4937,6388,3638,4694,3410,3369
HFX_RS00285,20091,27140,16558,18990,13737,14070
HFX_RS00290,11927,16997,10863,12197,8528,8620
HFX_RS00295,13467,21749,14205,16051,10462,11315
HFX_RS00300,8799,19162,11512,13922,10111,9772
HFX_RS00305,110211,155129,116108,135322,99146,105718
HFX_RS19880,753,515,228,451,457,372
HFX_RS00310,1758,1559,1111,1373,1222,1096
HFX_RS00315,15742,21602,11900,13174,10853,11075
HFX_RS00325,837,1629,872,941,690,763
HFX_RS00330,746,1174,792,818,603,608
HFX_RS00335,1700,3920,2511,2711,2077,1921
HFX_RS00340,416,822,647,894,644,674
HFX_RS19015,845,1454,1134,1614,1241,1177
HFX_RS00350,1463,1524,944,1328,1172,1107
HFX_RS19555,35,19,19,20,24,16
HFX_RS00355,100,36,34,43,39,38
HFX_RS00360,1872,1022,1257,1670,1440,1359
HFX_RS00365,270,77,113,178,159,118
HFX_RS00370,999,946,730,853,802,738
HFX_RS00375,8005,5622,5920,6593,5602,5695
HFX_RS00380,31047,20831,19636,24866,21505,20273
HFX_RS00385,1928,2021,1692,2322,1881,1828
HFX_RS00390,2886,1924,3456,5704,4845,3923
HFX_RS00395,678,123,289,386,390,383
HFX_RS00400,354,134,172,218,198,170
HFX_RS00405,3063,4183,2718,2995,2424,2407
HFX_RS00410,1414,2323,1588,1793,1522,1230
HFX_RS00415,4608,4858,3545,4094,3961,3189
HFX_RS00420,3553,4107,3071,3684,3321,2817
HFX_RS00425,5096,6113,3918,4532,3954,3768
HFX_RS00430,51,52,39,42,53,54
HFX_RS19890,528,301,501,620,601,583
HFX_RS00435,7431,4142,7174,6508,5047,5457
HFX_RS00440,3625,3086,2745,3218,2878,2737
HFX_RS20245,738,247,482,635,584,525
HFX_RS00450,1361,283,1158,1109,1071,1051
HFX_RS00455,567,114,326,306,291,289
HFX_RS00460,2112,727,1283,1357,1286,1198
HFX_RS00465,4513,3217,3817,4605,3913,3736
HFX_RS00470,392,910,398,418,349,359
HFX_RS19895,941,332,682,1231,757,730
HFX_RS00475,896,518,583,703,685,615
HFX_RS00480,650,41,182,264,250,320
HFX_RS00485,9017,10937,7949,8938,6963,7138
HFX_RS19560,35,3,8,8,10,14
HFX_RS00490,325,102,98,170,178,136
HFX_RS00495,670,203,377,410,412,321
HFX_RS00500,2805,1088,1694,1873,1843,1632
HFX_RS00505,331,166,149,245,243,216
HFX_RS00510,4500,6015,4062,4568,3995,3740
HFX_RS00515,18376,2652,9530,10111,9768,11360
HFX_RS00520,1912,3887,1438,1690,1491,1311
HFX_RS00525,2728,828,1755,2127,1962,1667
HFX_RS00530,1854,814,1341,1426,1386,1258
HFX_RS00535,7812,6210,4355,5096,4780,4638
HFX_RS00540,846,396,534,651,610,532
HFX_RS00545,1925,1327,1176,1396,1349,1189
HFX_RS00550,1165,1415,1367,2030,1694,1588
HFX_RS00555,5294,7430,4291,4541,3380,3591
HFX_RS00560,2920,2027,2873,3723,3193,2585
HFX_RS00565,777,507,763,1112,849,664
HFX_RS00570,4529,2663,1244,1703,1628,1632
HFX_RS00575,13853,12716,8835,9598,8473,8866
