gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS00005,2554.31509302032,7518.57998553379,2508.88649358909,2729.46289534649,2697.42750843405,2423.36001125515
HFX_RS00010,5231.07208769857,11533.5184616438,7234.15841574258,7279.17813418471,6829.10204861473,6732.28136100711
HFX_RS00015,2830.17817265925,11592.1918840504,3372.04057981287,3389.62483682413,3186.63613235344,3291.02305212233
HFX_RS00020,5346.87557300154,3625.77802137225,5090.62230903338,4634.86788870981,4711.63188538151,4558.22478307516
HFX_RS00025,11758.8481700635,9206.93765070383,17558.894122312,19493.5474813576,19354.5117629519,15354.4787056346
HFX_RS00030,2850.83102354131,1108.8079418067,1570.67553030236,1767.14638980836,1878.60283940051,1883.38401593504
HFX_RS00035,7832.59369702074,6432.52296261945,3764.98540678943,3536.12401939891,4008.59006763807,3833.17637000421
HFX_RS00040,6560.23056232248,723.239737420355,3817.96673177503,3511.40228233942,4090.9940789166,3753.70409649943
HFX_RS00045,584.918241052589,253.85235816741,473.520592058829,511.831519120661,549.707771440349,536.710011477442
HFX_RS00050,1179.42530572899,3838.91820889016,2144.63988431307,2524.36403974179,2594.16172214829,2312.31656060464
HFX_RS00055,981.748018715002,314.920614141645,451.445039981494,658.330701695448,763.540965264393,679.32463927368
HFX_RS00060,767.105889905035,1556.6418189511,968.012958591126,944.919727607374,904.357946563154,917.741459788
HFX_RS00065,4983.23787711386,10891.7030655224,7044.3086678775,6644.65354965767,6636.13062979791,6131.34033395731
HFX_RS00070,2072.66110637803,2046.38528352879,1463.60910272729,1817.50548381845,1704.40701809019,1879.02937081149
HFX_RS00075,7491.82165746677,13697.2505899858,8108.35027800503,8691.97962614031,9104.07861315249,8678.80773123361
HFX_RS00080,5069.53728972818,3620.98835423701,3629.22076151382,3918.85313387554,3881.333240094,4200.05522166323
HFX_RS00085,1121.1547621689,848.968499720252,1027.61694919993,961.400885647038,958.598561581936,1047.29215221359
HFX_RS00090,3756.60605508302,6601.35872913646,3694.34364014196,3851.09726193471,3985.64211513012,3859.3042407455
HFX_RS00095,3651.8665970383,8057.41753824763,3684.40964170716,3456.46508887387,3493.30422495964,3329.12619695338
HFX_RS00100,2542.51346394486,7044.40293914561,2508.88649358909,1942.02978900702,1979.78244818554,2084.78635289919
HFX_RS00105,2848.61821808966,7731.72017305171,2091.65855932746,2085.78211190853,2306.2692270486,2183.85452945994
HFX_RS00110,3946.90732392485,3849.69495994444,1830.06326721105,1948.43912824466,2184.22784325634,1986.80683761934
HFX_RS00115,146739.980720661,137281.439430081,151797.014971773,138707.25730159,130678.15864525,153361.891961157
HFX_RS00120,210.216517906668,249.062691032175,228.481964000414,230.736212555289,255.556743838492,238.41682051432
HFX_RS00125,7147.36160882672,5096.20583188913,5401.8875933238,5582.53447599047,5893.45143954074,5024.17181129492
HFX_RS00130,4218.34479266048,2077.51811990781,3035.38841063352,3930.75619245975,4069.08921515901,3744.99480625234
HFX_RS00135,4514.12312136425,5128.53608505196,5421.7555901934,5523.93480296055,5344.78675685075,5235.37209978706
HFX_RS19005,416.745026727255,466.992545685329,263.80284732415,289.335885585204,298.323382603301,349.460271164826
HFX_RS00140,330.445614112938,768.74157520508,257.180181700949,251.795470050415,238.867323832713,258.012723570292
HFX_RS00145,1135.16919669601,1264.47212370181,1550.80753343276,1760.73705057072,2037.15232945541,1524.12579324223
HFX_RS00150,278.813486907792,240.680773545516,231.793296812014,260.951668961339,241.996590083797,276.519965345376
HFX_RS00155,393.141768576331,429.872625387264,304.642618667219,378.151015021168,376.555038880391,517.114108421471
HFX_RS00160,2164.86133353008,822.625330476464,2131.39455306666,1774.4713489371,1789.94029561981,1900.80259642924
HFX_RS00165,20594.5803384985,7670.65191707748,21841.5512253149,18805.0013232561,18958.1380378147,19672.1093456336
HFX_RS00170,929.378289692639,416.70104076537,444.822374358294,574.093671714945,499.639511423011,464.85836693888
HFX_RS00175,2102.16517906668,1964.96094222981,1396.27866889142,1418.29521130215,1365.4031742228,1376.06785904156
HFX_RS00180,382.815343135301,198.771186112217,345.482390010288,305.817043624867,236.781146331991,296.115868401348
HFX_RS00185,1202.2909620627,396.344955440625,973.53184661046,828.636001438637,949.210762828685,921.007443630662
HFX_RS00190,5678.05878893169,9582.92652081971,7342.32862092152,7408.28053882875,7305.7936075298,6857.47740830915
HFX_RS00195,152.683576163791,49.09408813615,67.3304338358708,78.7433106339478,87.6194550303402,92.5362088754211
HFX_RS00200,3137.02052862126,1421.33372238073,1141.3060423982,801.167404705865,1033.70095160794,1028.78491043851
HFX_RS00205,3673.25704973757,1699.13441622431,1417.25044336489,935.76352869645,1350.79993171774,1224.74394099822
HFX_RS00210,4493.47027048219,1927.84102193174,1833.37460002265,1319.40826306417,1649.12331432105,1753.83332350945
HFX_RS00215,2961.47129612377,1286.02562581037,1172.21181530647,722.424094071917,914.788834066766,1078.86332935932
HFX_RS00220,4539.2015831496,2641.50142508163,2262.74408792681,1669.17506146148,1944.31743067326,2067.367772405
HFX_RS00225,4129.0949727773,2445.12507253703,1810.19527034144,1446.67942792602,1819.14678062992,1822.41898420535
HFX_RS00230,1031.1673404685,340.066366601624,488.973478512963,414.775810664865,416.192411394116,461.592383096218
HFX_RS00235,22063.8831583936,12699.8024090733,14849.1201048192,10815.3021535836,13311.8986321095,13698.624897405
HFX_RS00240,21120.4904341738,13103.3318652168,15179.1496083753,12421.2994425597,14277.798814944,13564.7195598558
HFX_RS00245,120.966698023486,77.8320909475548,204.198856715346,217.917534079995,216.962460075128,176.363127503744
HFX_RS00250,267.749459649546,261.036858870261,279.255733778284,220.664393753272,198.186862568627,200.313675683265
HFX_RS00255,389.453759490249,528.060801659564,383.010828541757,341.526219377471,369.253417627862,349.460271164826
HFX_RS00260,3259.46243027918,10151.6994931288,5174.50940692725,4981.88782743384,4780.47574290535,4522.29896080587
HFX_RS00265,16598.9912946374,37482.7375835586,24573.4007948851,22794.3571887457,22756.0241778798,21483.6417170301
HFX_RS00270,7299.3075831733,16196.2594177942,10036.6497519602,9340.23850903374,8949.70147809903,8897.62864869196
HFX_RS00275,2237.14631161728,5808.66881825521,2657.8964701111,3120.43258884296,2790.26240721619,2419.0053661316
HFX_RS00280,3641.54017159727,7649.09841496892,4015.54292286718,4297.91976878781,3556.93263873167,3667.69985530934
HFX_RS00285,14819.1581096943,32497.8915125636,18276.3495648254,17387.621731845,14328.9101637117,15317.4642220844
HFX_RS00290,8797.37687393976,20352.4930743937,11990.3361108043,11167.8158116542,8895.46086308025,9384.26024124859
HFX_RS00295,9933.28367245299,26042.6176310518,15679.160862927,14696.6148719244,10912.7945062788,12318.2023932399
HFX_RS00300,6490.15838968693,22944.9004113392,12706.6877757138,12747.2601237886,10546.670354902,10638.3980368308
HFX_RS00305,81291.8338772345,185754.068255434,128157.410029759,123903.514902408,103418.077243311,115091.093292844
HFX_RS19880,555.414168363934,616.669643661396,251.661293681615,412.94457088268,476.691558915065,404.981996490078
HFX_RS00310,1296.7039946664,1866.77276595751,1226.29691789594,1257.14611046989,1274.65445294138,1193.17276385249
HFX_RS00315,11611.3278066203,25866.597363832,13134.9534860141,12062.3764452515,11320.64220767,12056.9236858269
HFX_RS00325,617.37272101011,1950.5919408241,962.494070571793,861.598317517964,719.731237749223,830.648557317015
HFX_RS00330,550.25095564342,1405.76730419122,874.191862262454,748.977070913597,628.982516467799,661.906058779483
HFX_RS00335,1253.92308926785,4693.87379252946,2771.58556330937,2482.24552475154,2166.4953345002,2091.31832058452
HFX_RS00340,306.842355962014,984.276596290616,714.144109701777,818.564182636621,671.749155232608,733.757703318045
HFX_RS19015,623.273535547841,1741.04400365761,1251.68380278488,1477.81050422316,1294.47313919824,1281.35432760436
HFX_RS00350,1079.11145858756,1824.86317852421,1041.9660580502,1215.94321537073,1222.50001542332,1205.14803794225
HFX_RS19555,25.8160636025733,22.7509188923622,20.971774473468,18.3123978218483,25.0341300086686,17.4185804941969
HFX_RS00355,73.760181721638,43.1070042171073,37.528438531469,39.3716553169739,40.6804612640865,41.3691286737177
HFX_RS00360,1380.79060182906,1223.75995305232,1387.44844806049,1529.08521812434,1502.04780052012,1479.49068072585
HFX_RS00365,199.152490648423,92.2010923532572,124.726869236941,162.98034061445,165.85111130743,128.462031144702
HFX_RS00370,736.864215399164,1132.75627748287,805.757650822716,781.023767101832,836.557177789677,803.432025294833
HFX_RS00375,5904.50254681712,6731.87715857159,6534.36341489107,6036.6819419723,5843.3831795234,6199.92599465321
HFX_RS00380,22900.323619117,24943.3890235156,21673.7770295272,22767.804211904,22431.6235765175,22070.4301474284
HFX_RS00385,1422.09630359318,2419.97932007705,1867.59170574251,2126.06938711659,1962.0499394294,1990.072821462
HFX_RS00390,2128.71884448647,2303.82989204762,3814.65539896343,5222.69585879115,5053.76499549998,4270.81820492091
HFX_RS00395,500.094032072706,147.28226440845,318.991727517486,353.429277961673,406.804612640865,416.957270579839
