gene_id,symbol,product,biotype,protein_id,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HFX_RS05935,"",archaellin/type IV pilin N-terminal domain-containing protein,protein_coding,WP_004572456.1,-5.4063051996411,0.325160999014524,7.33691004637664e-66,2.85992753607762e-62,76963.2306303947,1698.09658413261
HFX_RS08825,"",response regulator,protein_coding,WP_004056516.1,-4.50050649587423,0.288969942376004,8.00460365372137e-59,1.5600972521103e-55,15554.6910242306,640.634988628925
HFX_RS05940,"",archaellin/type IV pilin N-terminal domain-containing protein,protein_coding,WP_014732248.1,-5.54132760939551,0.363952106824308,6.82746150840386e-56,8.87114831991941e-53,51566.780923954,1021.20948210848
HFX_RS17235,"",hypothetical protein,protein_coding,WP_004061027.1,2.13234473460696,0.13885925773335,6.40340465181103e-54,6.24011783318985e-51,669.319308607426,2975.77303289283
HFX_RS14835,"",methyl-accepting chemotaxis protein,protein_coding,WP_049917455.1,-2.64620392390261,0.178406264737112,1.21123469807308e-50,9.44278570617769e-48,10667.1311944097,1658.52693752362
HFX_RS06430,"",hypothetical protein,protein_coding,WP_004057219.1,3.29780751384049,0.240046793027191,1.40601528434672e-44,9.1344126306392e-42,39518.3528433942,411192.29503997
HFX_RS18635,"",twin-arginine translocation signal domain-containing protein,protein_coding,WP_004060711.1,3.89878355606479,0.302268096971289,6.43872904033494e-41,3.58545225703223e-38,297.776758503953,4861.91843426074
HFX_RS12655,"",extracellular solute-binding protein,protein_coding,WP_004059580.1,-3.24784547893017,0.255049287620413,1.05442003853244e-38,5.13766163774931e-36,21047.786095856,2079.6961836869
HFX_RS06975,"",PGF-pre-PGF domain-containing protein,protein_coding,WP_238547488.1,-3.86842600779664,0.315822532995805,2.80579489863926e-37,1.21522094609954e-34,21150.1380884733,1315.06036279279
HFX_RS13525,"",DUF6517 family protein,protein_coding,WP_004059332.1,-2.58598097102673,0.213448830242966,1.25715774324549e-34,4.90040088317093e-32,7583.74119493379,1215.42976442373
HFX_RS20230,"",hypothetical protein,protein_coding,WP_179955381.1,-2.34906624925376,0.198292178945518,4.14905562158032e-33,1.47027443753819e-30,1278.87863599031,243.501069752561
HFX_RS17230,"",hypothetical protein,protein_coding,WP_004061028.1,2.22479933968683,0.190010000028096,2.15817152226937e-32,7.01046049483834e-30,505.623896628785,2423.02908731713
HFX_RS04125,"",hypothetical protein,protein_coding,WP_004057378.1,-2.35582314983735,0.203139543392582,7.79328943076687e-32,2.33678786162533e-29,2384.31817852041,451.219718815088
HFX_RS05900,"",hypothetical protein,protein_coding,WP_004572463.1,-2.90484948089476,0.256152648788078,6.16865877823646e-31,1.71753085125469e-28,18229.3862196995,2291.30402653887
HFX_RS04420,"",hypothetical protein,protein_coding,WP_004057283.1,-1.71837436401077,0.153421191225432,1.48844129247275e-30,3.86796277203917e-28,7449.47867156374,2223.9355134211
HFX_RS06005,"",chemotaxis protein CheW,protein_coding,WP_179955373.1,-2.2167561232232,0.201899652497406,8.68757425370421e-29,2.11651027755869e-26,13965.0296204775,2913.93744473095
HFX_RS05905,"",FlaD/FlaE family flagellar protein,protein_coding,WP_004572462.1,-2.7338806127561,0.256862826818352,2.00425232396432e-27,4.59563268165467e-25,24795.4473891207,3515.9399636345
HFX_RS08375,"",hypothetical protein,protein_coding,WP_004056691.1,2.29313162140654,0.218776510525586,1.87037885593523e-26,4.05040932246418e-24,630.997226848881,3210.52114120318
HFX_RS18100,"",methyl-accepting chemotaxis protein,protein_coding,WP_014732812.1,-2.5378013211999,0.245413365835319,6.75263351295573e-26,1.38535607544744e-23,17652.1200393373,2890.5292986064
HFX_RS05895,"",histidine kinase N-terminal 7TM domain-containing protein,protein_coding,WP_004572464.1,-2.70175073260003,0.26283744780452,9.8556817477153e-26,1.92087237262971e-23,17565.2301238126,2540.95260468651
HFX_RS02555,"",methyl-accepting chemotaxis protein,protein_coding,WP_004057804.1,-2.37029607310545,0.232715093362644,3.94134031955382e-25,7.31587836458133e-23,14786.6266121279,2740.06123809355
HFX_RS07575,"",globin-coupled sensor protein,protein_coding,WP_004056907.1,-2.79582084038379,0.277000051837277,5.49187426233565e-25,9.73060267026563e-23,8071.19637183368,1084.64950266991
HFX_RS18200,"",hypothetical protein,protein_coding,WP_004060818.1,-2.96137459491994,0.298215412702116,1.90977352196452e-24,3.23665095157291e-22,2548.9897239517,301.337408466376
HFX_RS16715,"",ABC transporter ATP-binding protein,protein_coding,WP_004056464.1,2.11028398857804,0.211475117929138,2.88447370850474e-24,4.68486604822978e-22,602.369216802149,2692.86701067319
HFX_RS01145,"",hypothetical protein,protein_coding,WP_004058365.1,-4.94275371015723,0.548587166099969,1.51237004719774e-23,2.35808737759071e-21,398126.298776198,10519.0011917891
HFX_RS16710,"",ABC transporter permease subunit,protein_coding,WP_014732708.1,2.15514122581946,0.221605524987428,3.73163696914763e-23,5.59458496374518e-21,802.092380383047,3710.93977602834
HFX_RS18105,"",chemotaxis protein CheW,protein_coding,WP_004060836.1,-2.63627814944734,0.274027240961745,8.0846762502214e-23,1.167187704569e-20,7389.5431512323,1113.89275406519
HFX_RS09105,"",methyl-accepting chemotaxis protein,protein_coding,WP_014732573.1,-3.4152736831754,0.364566199471974,9.77804128699404e-23,1.36124303345367e-20,13673.0424695247,1124.50705687176
HFX_RS17735,"",Nramp family divalent metal transporter,protein_coding,WP_081603750.1,1.47858427949873,0.164076227773455,1.086410915232e-21,1.46028611985322e-19,330.231671062079,944.188740021584
HFX_RS06550,"",dihydrofolate reductase,protein_coding,WP_004057195.1,-2.713796599675,0.290986914677699,1.16726117647853e-21,1.51666135530443e-19,1446.83359518872,204.449243775151
HFX_RS05920,cheY,chemotaxis protein CheY,protein_coding,WP_004572459.1,-2.22319346164241,0.247199191785565,3.73206790445725e-20,4.69277441663689e-18,7631.20478897716,1560.32639004872
HFX_RS05990,"",protein-glutamate O-methyltransferase CheR,protein_coding,WP_004572445.1,-2.76611032323384,0.32165295677455,7.39496494726045e-19,9.00799167638163e-17,5877.82561731372,787.222488541551
HFX_RS16720,"",hypothetical protein,protein_coding,WP_014732709.1,2.08013461089187,0.246812476766333,4.19267370920766e-18,4.95243700560347e-16,482.661616359212,2139.42177508823
HFX_RS11230,"",type IV pilin N-terminal domain-containing protein,protein_coding,WP_004059900.1,-1.56182365993367,0.196075516415221,1.42528294157819e-17,1.63404497243288e-15,3752.1904218536,1227.86671874974
HFX_RS05950,"",flagella accessory protein C,pseudogene,"",-2.03054699840777,0.249607989240726,4.13773974421431e-17,4.60825986369926e-15,28698.8957932734,6711.81145086938
HFX_RS07745,"",methyltransferase domain-containing protein,protein_coding,WP_004056872.1,-1.69904480468505,0.214741949198776,5.37384800051092e-17,5.81868319610876e-15,14417.9434552353,4283.13689001531
HFX_RS08370,"",hypothetical protein,protein_coding,WP_014732349.1,2.89214053236745,0.360132233980324,6.52449393829792e-17,6.87364253283386e-15,2029.14865557073,17001.4572025886
HFX_RS04415,"",hypothetical protein,protein_coding,WP_004057284.1,-2.02356854071001,0.253416867346812,1.3402404136941e-16,1.37480450857358e-14,1732.12546331643,406.736995247596
HFX_RS09160,"",methyl-accepting chemotaxis protein,protein_coding,WP_004060384.1,-1.4077792776226,0.187685528834622,2.07151479531341e-16,2.07045248003377e-14,3700.2779121942,1341.8481730979
HFX_RS06000,cheB,chemotaxis-specific protein-glutamate methyltransferase CheB,protein_coding,WP_179955331.1,-1.88277921779868,0.23956491116251,2.17301521891287e-16,2.11760333083059e-14,14965.9130587406,3891.63913226755
HFX_RS12340,"",hypothetical protein,protein_coding,WP_004059643.1,-1.3824716590299,0.190840232796981,1.25826547483463e-15,1.19627288314765e-13,32662.3253923319,12016.15031815
HFX_RS11165,"",methyl-accepting chemotaxis protein,protein_coding,WP_014732501.1,-2.75925583719784,0.358939604903416,1.31250755976116e-15,1.21813201617833e-13,5090.04099014024,669.091119095407
HFX_RS10170,"",hypothetical protein,protein_coding,WP_004060150.1,-2.73500734596764,0.35646161405531,1.53743581712213e-15,1.39370344538188e-13,1800.19489407573,241.407691866817
HFX_RS05955,"",fla cluster protein flaF,protein_coding,WP_004572452.1,-2.43361770347659,0.316038466844291,1.79690108445626e-15,1.59189100618421e-13,2971.99748630556,506.773946351196
HFX_RS17225,"",hypothetical protein,protein_coding,WP_231512979.1,2.06325209216347,0.271100849254561,2.64552240361333e-15,2.29161029539661e-13,4227.17276547426,18657.1354578707
HFX_RS05995,"",chemotaxis protein CheA,protein_coding,WP_004572444.1,-2.01792808781751,0.269979805070389,6.44546663379948e-15,5.4281585813808e-13,22478.420919126,5260.66660113162
HFX_RS04315,"",hypothetical protein,protein_coding,WP_231512912.1,-2.65284119671509,0.353703594430043,6.54498341007947e-15,5.4281585813808e-13,2665.22586789303,379.566099024852
HFX_RS03730,"",hypothetical protein,protein_coding,WP_004057459.1,-1.85895685581817,0.258166830288767,2.54383378939957e-14,2.06580502314157e-12,21053.1736061819,5524.5154290081
HFX_RS07650,ptfC,fructose PTS transporter subunit IIC,protein_coding,WP_004056891.1,1.43891217180105,0.210311525613411,2.92429368354332e-14,2.32630546499018e-12,670.57883878858,1905.70201346373
