gene_id,pyrE-1,pyrE-2,pyrE-3,pyrE-4,rosR-1,rosR-2,rosR-3,rosR-4
HVO_RS04710,7660,9087,6826,5886,6330,7817,7428,5950
HVO_RS04715,7863,10147,8450,7759,8215,10079,8823,7617
HVO_RS04720,15992,19452,16935,17606,13062,17312,15749,13519
HVO_RS04725,2033,2387,2175,2266,1683,2221,1956,1606
HVO_RS04730,6555,8437,7100,5676,6566,8229,7738,7353
HVO_RS04735,816,1002,882,820,785,846,864,840
HVO_RS04740,1961,2475,2113,2160,1767,2171,1869,1814
HVO_RS04745,7397,10567,9001,9336,7976,11545,9283,9094
HVO_RS04750,940,1292,1078,1129,809,1088,960,788
HVO_RS04755,1159,1404,1217,1245,787,1097,984,889
HVO_RS04760,347,450,412,596,408,553,524,399
HVO_RS04765,2010,2599,2359,2383,1746,2331,2077,1882
HVO_RS04770,10616,14249,12463,13566,11331,13751,11792,10588
HVO_RS04775,1684,1895,1897,1740,1548,1789,1589,1434
HVO_RS04780,7194,8532,8109,8523,5751,7592,6632,6578
HVO_RS04785,4168,5689,4791,4081,3798,5016,4580,4082
HVO_RS04790,1459,1856,1459,1459,1460,1852,1578,1476
HVO_RS04795,4643,5993,5261,4921,3933,5257,4621,4121
HVO_RS04800,4577,5549,4630,4830,4375,5039,4742,3785
HVO_RS04805,10171,11551,10078,10016,8262,10646,10156,7802
HVO_RS04810,4100,5881,4512,4161,3760,4627,3781,3428
HVO_RS04815,251,299,249,226,227,253,288,201
HVO_RS04820,1758,2475,2198,1964,1983,2371,2035,1784
HVO_RS04825,29826,35841,31749,31242,27709,38547,31233,30542
HVO_RS04830,484,579,546,520,450,520,522,391
HVO_RS04835,4559,5955,5785,4776,4225,5147,5007,4610
HVO_RS04840,1432,1935,1525,1315,1343,1606,1511,1439
HVO_RS04845,7202,9361,8135,8612,6291,8738,7346,6177
HVO_RS04850,506,702,541,662,554,744,623,502
HVO_RS04855,937,1157,987,1279,683,1018,817,659
HVO_RS04860,134,178,147,183,103,124,116,100
HVO_RS04865,728,1054,889,747,796,898,885,842
HVO_RS04870,4728,6618,5521,5139,5423,6638,5886,5057
HVO_RS04875,967,1236,1186,1129,876,1023,1161,1008
HVO_RS04880,3620,4732,4250,3698,2877,3597,3690,3223
HVO_RS04885,1364,1934,1688,1571,1463,1770,1613,1350
