"","genenames","pyrE","rosR","hvo.flag1"
"HVO_RS04710","HVO_RS04710",7756.8644484105,6740.18189843646,"FALSE"
"HVO_RS04715","HVO_RS04715",8300.97433455292,8662.38566048446,"FALSE"
"HVO_RS04720","HVO_RS04720",16392.931185322,16217.1264444098,"FALSE"
"HVO_RS04725","HVO_RS04725",2048.4870997168,2085.00491440405,"FALSE"
"HVO_RS04730","HVO_RS04730",6911.00134663885,6918.17805539403,"FALSE"
"HVO_RS04735","HVO_RS04735",840.363825328572,838.339926009751,"FALSE"
"HVO_RS04740","HVO_RS04740",2047.24287748435,2056.70765600467,"FALSE"
"HVO_RS04745","HVO_RS04745",8231.11476545979,9451.93388344868,"FALSE"
"HVO_RS04750","HVO_RS04750",1024.98790911828,1024.61526335754,"FALSE"
"HVO_RS04755","HVO_RS04755",1185.67691107142,1082.67446180493,"FALSE"
"HVO_RS04760","HVO_RS04760",367.239551461686,492.247177468719,"FALSE"
"HVO_RS04765","HVO_RS04765",2124.08523110326,2202.09801440246,"FALSE"
"HVO_RS04770","HVO_RS04770",11434.3369097809,12815.0026811246,"FALSE"
"HVO_RS04775","HVO_RS04775",1662.845472021,1749.54466107243,"FALSE"
"HVO_RS04780","HVO_RS04780",7284.06752985422,7481.91793823111,"FALSE"
"HVO_RS04785","HVO_RS04785",4528.39893066483,4423.34058928194,"FALSE"
"HVO_RS04790","HVO_RS04790",1529.1907875636,1562.75369857422,"FALSE"
"HVO_RS04795","HVO_RS04795",4902.16679867079,4838.95971211467,"FALSE"
"HVO_RS04800","HVO_RS04800",4684.19775288761,4741.18195899491,"FALSE"
"HVO_RS04805","HVO_RS04805",10086.8744983364,9757.89056124916,"FALSE"
"HVO_RS04810","HVO_RS04810",4572.22424242806,4274.82765688084,"FALSE"
"HVO_RS04815","HVO_RS04815",254.68671965846,240.134357817523,"FALSE"
"HVO_RS04820","HVO_RS04820",1941.19821229674,2137.69632211683,"FALSE"
"HVO_RS04825","HVO_RS04825",30392.7069361443,32301.2765229584,"FALSE"
"HVO_RS04830","HVO_RS04830",492.118351627534,510.740849396849,"FALSE"
"HVO_RS04835","HVO_RS04835",4842.58202265652,4990.17086079909,"FALSE"
"HVO_RS04840","HVO_RS04840",1547.73458173956,1452.9482977393,"FALSE"
"HVO_RS04845","HVO_RS04845",7630.84669427291,7929.87495356811,"FALSE"
"HVO_RS04850","HVO_RS04850",554.442973312614,626.072749950105,"FALSE"
