"Experiment","Well","Species","Strain","Biological_replicate","Technical_replicate","Condition","Time","OD"
"20150617",102,"Haloferax mediterranei","pyrE2","A",1,"standard",0,0.022
"20150617",103,"Haloferax mediterranei","pyrE2","A",2,"standard",0,0.024
"20150617",104,"Haloferax mediterranei","pyrE2","A",3,"standard",0,0.023
"20150617",105,"Haloferax mediterranei","pyrE2","B",1,"standard",0,0.016
"20150617",106,"Haloferax mediterranei","pyrE2","B",2,"standard",0,0.018
"20150617",107,"Haloferax mediterranei","pyrE2","B",3,"standard",0,0.022
"20150617",108,"Haloferax mediterranei","pyrE2","C",1,"standard",0,0.018
"20150617",109,"Haloferax mediterranei","pyrE2","C",2,"standard",0,0.02
"20150617",111,"Haloferax mediterranei","pyrE2","C",3,"standard",0,0.022
"20150617",112,"Haloferax mediterranei","pyrE2","D",1,"standard",0,0.02
"20150617",113,"Haloferax mediterranei","pyrE2","D",2,"standard",0,0.018
"20150617",114,"Haloferax mediterranei","pyrE2","D",3,"standard",0,0.019
"20150617",251,"Haloferax mediterranei","pyrE2","A",1,"2 mM paraquat",0,0.025
"20150617",252,"Haloferax mediterranei","pyrE2","A",2,"2 mM paraquat",0,0.027
"20150617",253,"Haloferax mediterranei","pyrE2","A",3,"2 mM paraquat",0,0.028
"20150617",254,"Haloferax mediterranei","pyrE2","B",1,"2 mM paraquat",0,0.022
"20150617",255,"Haloferax mediterranei","pyrE2","B",2,"2 mM paraquat",0,0.025
"20150617",256,"Haloferax mediterranei","pyrE2","B",3,"2 mM paraquat",0,0.026
"20150617",257,"Haloferax mediterranei","pyrE2","C",1,"2 mM paraquat",0,0.021
"20150617",258,"Haloferax mediterranei","pyrE2","C",2,"2 mM paraquat",0,0.021
"20150617",259,"Haloferax mediterranei","pyrE2","C",3,"2 mM paraquat",0,0.021
"20150617",260,"Haloferax mediterranei","pyrE2","D",1,"2 mM paraquat",0,0.028
"20150617",261,"Haloferax mediterranei","pyrE2","D",2,"2 mM paraquat",0,0.025
"20150617",262,"Haloferax mediterranei","pyrE2","D",3,"2 mM paraquat",0,0.033
"20150617",102,"Haloferax mediterranei","pyrE2","A",1,"standard",0.5,0.022
"20150617",103,"Haloferax mediterranei","pyrE2","A",2,"standard",0.5,0.025
"20150617",104,"Haloferax mediterranei","pyrE2","A",3,"standard",0.5,0.023
"20150617",105,"Haloferax mediterranei","pyrE2","B",1,"standard",0.5,0.017
"20150617",106,"Haloferax mediterranei","pyrE2","B",2,"standard",0.5,0.019
