chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_017941.2,WP_004058834.1,HFX_RS00005,HFX_0001,1617,1,1617,+,protein_coding,cell division control protein Cdc6
NC_017941.2,WP_004058833.1,HFX_RS00010,HFX_0002,876,1777,2652,-,protein_coding,S26 family signal peptidase
NC_017941.2,WP_004058832.1,HFX_RS00015,HFX_0003,1557,2732,4288,+,protein_coding,DNA polymerase II small subunit
NC_017941.2,WP_004058830.1,HFX_RS00020,HFX_0004,1128,4398,5525,+,protein_coding,NADH:flavin oxidoreductase
NC_017941.2,WP_004058828.1,HFX_RS00025,HFX_0005,840,5603,6442,-,protein_coding,ZIP family metal transporter
NC_017941.2,WP_004058826.1,HFX_RS00030,HFX_0006,429,6580,7008,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058824.1,HFX_RS00035,HFX_0007,1179,7194,8372,+,protein_coding,aspartate kinase
NC_017941.2,WP_004058822.1,HFX_RS00040,HFX_0008,1347,8741,10087,+,protein_coding,tryptophanase/L-cysteine desulfhydrase PLP-dependent
NC_017941.2,WP_004058820.1,HFX_RS00045,HFX_0009,660,10149,10808,-,protein_coding,metallophosphoesterase
NC_017941.2,WP_004058819.1,HFX_RS00050,HFX_0010,573,10878,11450,-,protein_coding,IMP cyclohydrolase
NC_017941.2,NA,HFX_RS00055,HFX_0011,73,11583,11655,+,tRNA,tRNA-Gln
NC_017941.2,WP_004058817.1,HFX_RS00060,HFX_0012,495,11887,12381,-,protein_coding,KEOPS complex component
NC_017941.2,WP_004058815.1,HFX_RS00065,HFX_0013,2550,12378,14927,-,protein_coding,DEAD/DEAH box helicase
NC_017941.2,WP_004058813.1,HFX_RS00070,HFX_0014,246,15047,15292,+,protein_coding,ferredoxin
NC_017941.2,WP_004058811.1,HFX_RS00075,HFX_0015,813,15571,16383,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058809.1,HFX_RS00080,HFX_0016,579,16444,17022,-,protein_coding,hypothetical protein
NC_017941.2,WP_081603721.1,HFX_RS00085,HFX_0017,636,17186,17821,-,protein_coding,DUF2391 domain-containing protein
NC_017941.2,WP_004058806.1,HFX_RS00090,HFX_0018,681,17766,18446,+,protein_coding,class I SAM-dependent methyltransferase
NC_017941.2,WP_004058804.1,HFX_RS00095,HFX_0019,1098,18478,19575,-,protein_coding,ABC transporter ATP-binding protein
NC_017941.2,WP_004058802.1,HFX_RS00100,HFX_0020,1713,19691,21403,-,protein_coding,iron ABC transporter permease
NC_017941.2,WP_004058801.1,HFX_RS00105,HFX_0021,1137,21405,22541,-,protein_coding,thiamine ABC transporter substrate-binding protein
NC_017941.2,WP_004058799.1,HFX_RS00110,HFX_0022,777,22684,23460,-,protein_coding,sulfurtransferase
NC_017941.2,WP_049917468.1,HFX_RS00115,HFX_0023,861,23712,24572,+,protein_coding,sulfurtransferase
NC_017941.2,WP_004058792.1,HFX_RS00120,HFX_0024,1476,24640,26115,-,protein_coding,short-chain fatty acid transporter
NC_017941.2,WP_004058791.1,HFX_RS00125,HFX_0025,600,26297,26896,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058790.1,HFX_RS00130,HFX_0026,270,27310,27579,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058788.1,HFX_RS00135,HFX_0027,2085,27668,29752,+,protein_coding,excinuclease ABC subunit UvrB
NC_017941.2,WP_004058787.1,HFX_RS00140,HFX_0028,1086,30290,31375,+,protein_coding,sulfite exporter TauE/SafE family protein
NC_017941.2,WP_004058785.1,HFX_RS00145,HFX_0029,441,31492,31932,+,protein_coding,universal stress protein
NC_017941.2,WP_004058783.1,HFX_RS00150,HFX_0030,2466,32247,34712,+,protein_coding,ribonucleoside-diphosphate reductase subunit alpha
NC_017941.2,WP_004058781.1,HFX_RS00155,HFX_0031,993,34803,35795,+,protein_coding,ribonucleotide-diphosphate reductase subunit beta
NC_017941.2,WP_004058774.1,HFX_RS00160,HFX_0032,495,35823,36317,-,protein_coding,acyl-CoA thioesterase
NC_017941.2,WP_004058772.1,HFX_RS00165,HFX_0033,1218,36426,37643,-,protein_coding,SPFH/Band 7/PHB domain protein
NC_017941.2,WP_004058770.1,HFX_RS00170,HFX_0034,195,37720,37914,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058768.1,HFX_RS00175,HFX_0035,498,37980,38477,+,protein_coding,phosphoesterase
NC_017941.2,WP_004058766.1,HFX_RS00180,HFX_0037,1377,38509,39885,-,protein_coding,cytochrome P450
NC_017941.2,WP_004058763.1,HFX_RS00185,HFX_0038,591,40027,40617,+,protein_coding,isoprenylcysteine carboxylmethyltransferase family protein
NC_017941.2,WP_004058761.1,HFX_RS00190,HFX_0039,2205,40653,42857,-,protein_coding,ATP-dependent DNA helicase
NC_017941.2,WP_004058759.1,HFX_RS00195,HFX_0040,465,43004,43468,+,protein_coding,hypothetical protein
NC_017941.2,WP_014732030.1,HFX_RS00200,HFX_0041,900,43496,44395,-,protein_coding,ornithine carbamoyltransferase
NC_017941.2,WP_004058754.1,HFX_RS00205,HFX_0042,1164,44433,45596,-,protein_coding,acetyl-lysine deacetylase
NC_017941.2,WP_004058752.1,HFX_RS00210,HFX_0043,1137,45593,46729,-,protein_coding,acetylornithine transaminase
NC_017941.2,WP_004058750.1,HFX_RS00215,HFX_0044,939,46726,47664,-,protein_coding,acetylglutamate kinase
NC_017941.2,WP_004058744.1,HFX_RS00220,HFX_0045,1044,47723,48766,-,protein_coding,N-acetyl-gamma-glutamyl-phosphate reductase
NC_017941.2,WP_004058742.1,HFX_RS00225,HFX_0047,876,48763,49638,-,protein_coding,lysine biosynthesis protein LysX
NC_017941.2,WP_004058739.1,HFX_RS00230,HFX_0048,180,49641,49820,-,protein_coding,lysine biosynthesis protein LysW
NC_017941.2,WP_004058737.1,HFX_RS00235,HFX_0049,1467,50140,51606,-,protein_coding,argininosuccinate lyase
NC_017941.2,WP_004058735.1,HFX_RS00240,HFX_0050,1218,51608,52825,-,protein_coding,argininosuccinate synthase
NC_017941.2,WP_004058732.1,HFX_RS00245,HFX_0051,963,53241,54203,+,protein_coding,sodium:calcium antiporter
NC_017941.2,WP_004058731.1,HFX_RS00250,HFX_0052,1209,54237,55445,-,protein_coding,cation:proton antiporter
NC_017941.2,WP_049917467.1,HFX_RS00255,HFX_0053,486,55445,55930,-,protein_coding,potassium transporter TrkA
NC_017941.2,WP_014732031.1,HFX_RS00260,HFX_0054,603,56030,56632,-,protein_coding,dolichol kinase
NC_017941.2,WP_004058725.1,HFX_RS00265,HFX_0055,1785,56640,58424,-,protein_coding,glycine--tRNA ligase
NC_017941.2,WP_004058723.1,HFX_RS00270,HFX_0056,855,58417,59271,-,protein_coding,CBS domain-containing protein
NC_017941.2,WP_004058721.1,HFX_RS00275,HFX_0057,561,59405,59965,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058719.1,HFX_RS00280,HFX_0058,405,60032,60436,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058717.1,HFX_RS00285,HFX_0059,1368,60436,61803,-,protein_coding,ABC transporter ATP-binding protein
NC_017941.2,WP_004058715.1,HFX_RS00290,HFX_0060,1053,61800,62852,-,protein_coding,ABC transporter ATP-binding protein
NC_017941.2,WP_004058713.1,HFX_RS00295,HFX_0062,1440,62849,64288,-,protein_coding,ABC transporter permease
NC_017941.2,WP_014732032.1,HFX_RS00300,HFX_0063,1047,64295,65341,-,protein_coding,ABC transporter permease
NC_017941.2,WP_004058710.1,HFX_RS00305,HFX_0064,1848,65498,67345,-,protein_coding,ABC transporter substrate-binding protein
NC_017941.2,WP_004058705.1,HFX_RS00310,HFX_0066,420,67840,68259,+,protein_coding,DUF296 domain-containing protein
NC_017941.2,WP_004058703.1,HFX_RS00315,HFX_0067,5100,68262,73361,+,protein_coding,intein-containing DNA polymerase II large subunit
NC_017941.2,WP_004058699.1,HFX_RS00325,HFX_0068,1551,74068,75618,-,protein_coding,TrkH family potassium uptake protein
NC_017941.2,WP_004058697.1,HFX_RS00330,HFX_0069,687,75679,76365,-,protein_coding,TrkA family potassium uptake protein
NC_017941.2,WP_004058694.1,HFX_RS00335,HFX_0070,2343,76371,78713,-,protein_coding,amino acid permease
NC_017941.2,WP_004058692.1,HFX_RS00340,HFX_0072,417,78778,79194,-,protein_coding,universal stress protein
NC_017941.2,WP_004058688.1,HFX_RS00350,HFX_0073,744,80062,80805,+,protein_coding,HTH domain-containing protein
NC_017941.2,WP_004058685.1,HFX_RS00360,HFX_0075,768,82072,82839,+,protein_coding,hypothetical protein
NC_017941.2,WP_014732036.1,HFX_RS00365,HFX_0076,288,83277,83564,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058675.1,HFX_RS00370,HFX_0077,897,83657,84553,+,protein_coding,ketopantoate reductase family protein
NC_017941.2,WP_004058674.1,HFX_RS00375,HFX_0078,1539,84575,86113,-,protein_coding,sulfatase
NC_017941.2,WP_004058673.1,HFX_RS00380,HFX_0079,375,86192,86566,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058672.1,HFX_RS00385,HFX_0080,318,86611,86928,-,protein_coding,hypothetical protein
NC_017941.2,WP_081603717.1,HFX_RS00390,HFX_0081,477,87181,87657,+,protein_coding,DoxX family protein
NC_017941.2,WP_004058670.1,HFX_RS00395,HFX_0082,222,87884,88105,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058669.1,HFX_RS00400,HFX_0083,390,88329,88718,-,protein_coding,hypothetical protein
NC_017941.2,WP_049917454.1,HFX_RS00405,HFX_0084,1419,88760,90178,-,protein_coding,recombinase RecJ
NC_017941.2,WP_004058665.1,HFX_RS00410,HFX_0085,1233,90321,91553,-,protein_coding,MFS transporter
NC_017941.2,WP_004058664.1,HFX_RS00415,HFX_0086,744,91550,92293,-,protein_coding,uroporphyrinogen-III synthase
NC_017941.2,WP_004058663.1,HFX_RS00420,HFX_0087,858,92290,93147,-,protein_coding,uroporphyrinogen-III C-methyltransferase
NC_017941.2,WP_004058662.1,HFX_RS00425,HFX_0088,1098,93149,94246,-,protein_coding,hydroxymethylbilane synthase
NC_017941.2,WP_004058657.1,HFX_RS00435,HFX_0090,1338,95094,96431,-,protein_coding,"glutamate-1-semialdehyde 2,1-aminomutase"
NC_017941.2,WP_004058654.1,HFX_RS00440,HFX_0091,690,96464,97153,-,protein_coding,CPBP family intramembrane metalloprotease
NC_017941.2,WP_004058652.1,HFX_RS00445,HFX_0092,372,97291,97662,-,protein_coding,P-II family nitrogen regulator
NC_017941.2,WP_004058650.1,HFX_RS00450,HFX_0093,1371,97666,99036,-,protein_coding,ammonium transporter
NC_017941.2,WP_004058648.1,HFX_RS00455,HFX_0094,369,99423,99791,-,protein_coding,P-II family nitrogen regulator
NC_017941.2,WP_014732039.1,HFX_RS00460,HFX_0095,1551,99788,101338,-,protein_coding,ammonium transporter
NC_017941.2,WP_004058643.1,HFX_RS00465,HFX_0096,993,101712,102704,-,protein_coding,porphobilinogen synthase
NC_017941.2,WP_004058641.1,HFX_RS00470,HFX_0097,513,102799,103311,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058639.1,HFX_RS00475,HFX_0099,795,103731,104525,-,protein_coding,PHP domain-containing protein
NC_017941.2,WP_004058637.1,HFX_RS00480,HFX_0100,285,104659,104943,+,protein_coding,hypothetical protein
NC_017941.2,WP_014732040.1,HFX_RS00485,HFX_0101,1005,105040,106044,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058631.1,HFX_RS00490,HFX_0103,696,106367,107062,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058629.1,HFX_RS00495,HFX_0104,933,107094,108026,-,protein_coding,NADH-binding protein
NC_017941.2,WP_004058619.1,HFX_RS00500,HFX_0105,885,108117,109001,-,protein_coding,zinc/iron-chelating domain-containing protein
NC_017941.2,WP_004058617.1,HFX_RS00505,HFX_0106,204,109137,109340,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058616.1,HFX_RS00510,HFX_0107,1890,109421,111310,+,protein_coding,ATP-dependent DNA helicase
NC_017941.2,WP_004058614.1,HFX_RS00515,HFX_0108,195,111760,111954,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058613.1,HFX_RS00520,HFX_0109,1125,112099,113223,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058611.1,HFX_RS00525,HFX_0110,639,113308,113946,-,protein_coding,phosphoribosyltransferase
NC_017941.2,WP_004058609.1,HFX_RS00530,HFX_0111,891,114036,114926,-,protein_coding,NAD(P)-dependent oxidoreductase
NC_017941.2,WP_004058607.1,HFX_RS00535,HFX_0112,882,115024,115905,+,protein_coding,zinc metalloprotease HtpX
NC_017941.2,WP_004058605.1,HFX_RS00540,HFX_0113,1095,115998,117092,+,protein_coding,phosphotransferase family protein
NC_017941.2,WP_004058603.1,HFX_RS00545,HFX_0114,606,117146,117751,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058601.1,HFX_RS00550,HFX_0115,198,117777,117974,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058599.1,HFX_RS00555,HFX_0116,1032,118144,119175,+,protein_coding,DNA repair and recombination protein RadA
NC_017941.2,WP_004058597.1,HFX_RS00560,HFX_0117,1146,119397,120542,+,protein_coding,NAD(P)/FAD-dependent oxidoreductase
NC_017941.2,WP_004058595.1,HFX_RS00565,HFX_0118,414,120553,120966,+,protein_coding,DUF1641 domain-containing protein
NC_017941.2,WP_004058592.1,HFX_RS00570,HFX_0119,426,120985,121410,-,protein_coding,SUF system NifU family Fe-S cluster assembly protein
NC_017941.2,WP_004058583.1,HFX_RS00575,HFX_0120,1281,121542,122822,-,protein_coding,cysteine desulfurase
NC_017941.2,WP_004058581.1,HFX_RS00580,HFX_0121,303,123042,123344,-,protein_coding,DUF424 domain-containing protein
NC_017941.2,WP_004058579.1,HFX_RS00585,HFX_0122,741,123344,124084,-,protein_coding,tetratricopeptide repeat-containing protein
NC_017941.2,WP_049917453.1,HFX_RS00590,HFX_0123,642,124176,124817,+,protein_coding,histidine phosphatase family protein
NC_017941.2,WP_004058571.1,HFX_RS00595,HFX_0124,555,124913,125467,+,protein_coding,"RNA 2',3'-cyclic phosphodiesterase"
NC_017941.2,WP_004058570.1,HFX_RS00600,HFX_0125,939,125504,126442,-,protein_coding,EamA/RhaT family transporter
NC_017941.2,WP_004058569.1,HFX_RS00605,HFX_0126,153,126606,126758,+,protein_coding,50S ribosomal protein L39e
NC_017941.2,WP_004058568.1,HFX_RS00610,HFX_0127,279,126762,127040,+,protein_coding,50S ribosomal protein L31e
NC_017941.2,WP_004058567.1,HFX_RS00615,HFX_0128,666,127044,127709,+,protein_coding,translation initiation factor IF-6
NC_017941.2,WP_004058566.1,HFX_RS00620,HFX_0129,177,127791,127967,+,protein_coding,50S ribosomal protein L18a
NC_017941.2,WP_004058565.1,HFX_RS00625,HFX_0130,471,127967,128437,+,protein_coding,prefoldin subunit alpha
NC_017941.2,WP_004058564.1,HFX_RS00630,HFX_0131,1395,128459,129853,+,protein_coding,signal recognition particle-docking protein FtsY
NC_017941.2,WP_004058562.1,HFX_RS00635,HFX_0132,618,129943,130560,-,protein_coding,LysE family translocator
NC_017941.2,WP_004058560.1,HFX_RS00640,HFX_0133,1395,130741,132135,+,protein_coding,signal recognition particle protein
NC_017941.2,WP_004058558.1,HFX_RS00645,HFX_0134,582,132236,132817,+,protein_coding,membrane protein
NC_017941.2,WP_004058556.1,HFX_RS00650,HFX_0135,561,132819,133379,+,protein_coding,ABC transporter permease
NC_017941.2,WP_004058554.1,HFX_RS00655,HFX_0136,993,133498,134490,+,protein_coding,hypothetical protein
